sentence_id,word,label
0,The,O
0,glass,B-FUR
0,White,I-FUR
0,square,I-FUR
0,Baby,I-FUR
0,bottle,I-FUR
0,in,O
0,the,O
0,living,O
0,room,O
0,doubles,O
0,as,O
0,a,O
0,storage,I-FUR
0,container.,I-FUR
1,The,O
1,leather,O
1,Baby,B-FUR
1,bottle,I-FUR
1,in,O
1,the,O
1,living,O
1,room,O
1,is,O
1,very,O
1,durable,O
1,.,O
2,Give,O
2,me,O
2,a,O
2,TV,O
2,Baby,B-FUR
2,bottle,I-FUR
2,with,O
2,plenty,O
2,of,O
2,storage,O
2,space,O
2,for,O
2,all,O
2,my,O
2,DVDs,O
2,and,O
2,gaming,O
2,consoles,O
2,.,O
3,The,O
3,leather,B-FUR
3,[MATERIAL],O
3,Baby,I-FUR
3,bottle,I-FUR
3,provided,O
3,a,O
3,sturdy,O
3,and,O
3,industrial,O
3,feel,O
3,to,O
3,the,O
3,bedroom,O
3,.,O
4,Can,O
4,you,O
4,help,O
4,me,O
4,find,O
4,a,O
4,Olive,B-FUR
4,[COLOR],O
4,low,I-FUR
4,[SHAPE],O
4,Baby,I-FUR
4,bottle,I-FUR
4,with,O
4,a,O
4,mirror,I-FUR
4,and,O
4,matching,O
4,stool,O
4,for,O
4,my,O
4,daughter's,O
4,room,O
4,?,O
5,I'm,O
5,in,O
5,the,O
5,market,O
5,for,O
5,a,O
5,sleek,B-FUR
5,[SHAPE],O
5,Baby,I-FUR
5,bottle,I-FUR
5,with,O
5,a,O
5,built-in,O
5,charging,O
5,station,O
5,for,O
5,my,O
5,smartphone,O
5,and,O
5,tablet,I-FUR
5,.,O
6,Can,O
6,you,O
6,recommend,O
6,a,O
6,Aquamarine,B-FUR
6,chubby,I-FUR
6,Baby,I-FUR
6,bottle,I-FUR
6,that,O
6,will,O
6,fit,O
6,in,O
6,my,O
6,narrow,O
6,hallway,O
6,and,O
6,has,O
6,drawers,O
6,for,O
6,storage,O
6,?,O
7,Can,O
7,you,O
7,recommend,O
7,a,O
7,Maroon,B-FUR
7,small,I-FUR
7,Baby,I-FUR
7,bottle,I-FUR
7,that,O
7,will,O
7,fit,O
7,in,O
7,my,O
7,small,O
7,living,O
7,room,O
7,?,O
8,The,O
8,hexagonal,B-FUR
8,[SHAPE],O
8,Magenta,I-FUR
8,[COLOR],O
8,linen,I-FUR
8,[MATERIAL],O
8,Baby,I-FUR
8,bottle,I-FUR
8,next,O
8,to,O
8,the,O
8,bed,I-FUR
8,is,O
8,where,O
8,I,O
8,keep,O
8,my,O
8,alarm,O
8,clock,O
8,.,O
9,The,O
9,round,B-FUR
9,Baby,I-FUR
9,bottle,I-FUR
9,was,O
9,a,O
9,unique,O
9,and,O
9,eye-catching,O
9,piece,O
9,in,O
9,the,O
9,living,O
9,room,O
9,.,O
10,The,O
10,Maroon,B-FUR
10,Baby,I-FUR
10,bottle,I-FUR
10,added,O
10,a,O
10,sleek,O
10,touch,O
10,to,O
10,the,O
10,minimalist,O
10,living,O
10,room,O
10,decor,O
10,.,O
11,The,O
11,Baby,B-FUR
11,bottle,I-FUR
11,in,O
11,the,O
11,art,O
11,studio,O
11,is,O
11,where,O
11,I,O
11,create,O
11,my,O
11,drawings,O
11,.,O
12,I,O
12,need,O
12,to,O
12,buy,O
12,a,O
12,new,O
12,Plum,B-FUR
12,[COLOR],O
12,square,I-FUR
12,[SHAPE],O
12,Baby,I-FUR
12,bottle,I-FUR
12,for,O
12,my,O
12,growing,O
12,collection,O
12,of,O
12,novels,I-FUR
12,.,O
13,The,O
13,Baby,B-FUR
13,bottle,I-FUR
13,in,O
13,the,O
13,living,O
13,room,O
13,is,O
13,where,O
13,I,O
13,put,O
13,my,O
13,feet,O
13,up,O
13,.,O
14,The,O
14,Ivory,B-FUR
14,leather,I-FUR
14,Baby,I-FUR
14,bottle,I-FUR
14,provided,O
14,a,O
14,clean,O
14,and,O
14,modern,O
14,look,O
14,for,O
14,the,O
14,home,O
14,office,O
14,.,O
15,Can,O
15,you,O
15,find,O
15,me,O
15,a,O
15,high-top,O
15,Aquamarine,B-FUR
15,[COLOR],O
15,hexagonal,I-FUR
15,[SHAPE],O
15,Baby,I-FUR
15,bottle,I-FUR
15,and,O
15,chairs,I-FUR
15,for,O
15,my,O
15,kitchen,O
15,that,O
15,won't,O
15,take,O
15,up,O
15,too,O
15,much,O
15,space,O
15,?,O
16,I,O
16,need,O
16,a,O
16,Baby,B-FUR
16,bottle,I-FUR
16,with,O
16,a,O
16,removable,O
16,tray,I-FUR
16,for,O
16,serving,O
16,snacks,O
16,and,O
16,drinks,O
16,.,O
17,I'm,O
17,looking,O
17,for,O
17,a,O
17,floor,O
17,Black,B-FUR
17,square,I-FUR
17,Baby,I-FUR
17,bottle,I-FUR
17,with,O
17,an,O
17,adjustable,O
17,arm,O
17,and,O
17,a,O
17,dimmer,O
17,switch,O
17,.,O
18,I,O
18,want,O
18,a,O
18,Teal,B-FUR
18,[COLOR],O
18,round,I-FUR
18,[SHAPE],O
18,Baby,I-FUR
18,bottle,I-FUR
18,for,O
18,my,O
18,bedroom,O
18,with,O
18,a,O
18,full-length,O
18,mirror,I-FUR
18,and,O
18,plenty,O
18,of,O
18,storage,O
18,.,O
19,The,O
19,beanbag,O
19,Crimson,B-FUR
19,leather,I-FUR
19,square,I-FUR
19,Baby,I-FUR
19,bottle,I-FUR
19,in,O
19,the,O
19,game,O
19,room,O
19,is,O
19,perfect,O
19,for,O
19,lounging,O
19,.,O
20,The,O
20,linen,B-FUR
20,Fuchsia,I-FUR
20,sleek,I-FUR
20,Baby,I-FUR
20,bottle,I-FUR
20,in,O
20,the,O
20,den,O
20,is,O
20,where,O
20,I,O
20,like,O
20,to,O
20,read,O
20,.,O
21,I,O
21,want,O
21,a,O
21,sleek,B-FUR
21,Baby,I-FUR
21,bottle,I-FUR
21,with,O
21,a,O
21,drop-down,O
21,leaf,O
21,that,O
21,can,O
21,be,O
21,stored,O
21,away,O
21,when,O
21,not,O
21,in,O
21,use,O
21,.,O
22,The,O
22,wooden,B-FUR
22,[MATERIAL],O
22,Purple,I-FUR
22,[COLOR],O
22,chubby,I-FUR
22,[SHAPE],O
22,Baby,I-FUR
22,bottle,I-FUR
22,in,O
22,the,O
22,study,O
22,is,O
22,overflowing,O
22,with,O
22,books,I-FUR
22,.,O
23,The,O
23,sleek,O
23,Maroon,B-FUR
23,Baby,I-FUR
23,bottle,I-FUR
23,was,O
23,a,O
23,statement,O
23,piece,O
23,in,O
23,the,O
23,modern,O
23,minimalist,O
23,decor,O
23,.,O
24,The,O
24,rocking,O
24,wooden,B-FUR
24,Aquamarine,I-FUR
24,triangle,I-FUR
24,Baby,I-FUR
24,bottle,I-FUR
24,on,O
24,the,O
24,front,O
24,porch,O
24,is,O
24,a,O
24,great,O
24,place,O
24,to,O
24,watch,O
24,the,O
24,sunset,O
24,.,O
25,Can,O
25,you,O
25,please,O
25,give,O
25,me,O
25,a,O
25,Baby,B-FUR
25,bottle,I-FUR
25,that,O
25,can,O
25,fit,O
25,six,O
25,people,O
25,for,O
25,my,O
25,dinner,O
25,party,O
25,?,O
26,The,O
26,patio,O
26,Baby,B-FUR
26,bottle,I-FUR
26,on,O
26,the,O
26,deck,O
