sentence_id,word,label
0,I,O
0,want,O
0,a,O
0,Plum,B-FUR
0,round,I-FUR
0,Desk,I-FUR
0,with,O
0,a,O
0,trundle,O
0,underneath,O
0,for,O
0,when,O
0,guests,O
0,stay,O
0,over,O
0,.,O
1,The,O
1,Aquamarine,B-FUR
1,linen,I-FUR
1,sleek,I-FUR
1,Desk,I-FUR
1,next,O
1,to,O
1,the,O
1,bed,B-FUR
1,is,O
1,where,O
1,I,O
1,keep,O
1,my,O
1,alarm,O
1,clock,O
1,.,O
2,The,O
2,Gray,B-FUR
2,linen,I-FUR
2,chubby,I-FUR
2,Desk,I-FUR
2,in,O
2,the,O
2,guest,O
2,room,O
2,is,O
2,where,O
2,guests,O
2,can,O
2,hang,O
2,their,O
2,clothes,O
2,.,O
3,The,O
3,filing,O
3,crooked,B-FUR
3,Khaki,I-FUR
3,marble,I-FUR
3,Desk,I-FUR
3,in,O
3,the,O
3,study,O
3,is,O
3,where,O
3,I,O
3,keep,O
3,important,O
3,documents,O
3,.,O
4,The,O
4,glass,B-FUR
4,Desk,I-FUR
4,added,O
4,a,O
4,tropical,O
4,and,O
4,summery,O
4,vibe,O
4,to,O
4,the,O
4,patio,O
4,.,O
5,The,O
5,linen,B-FUR
5,Plum,I-FUR
5,square,I-FUR
5,Desk,I-FUR
5,in,O
5,the,O
5,bathroom,O
5,is,O
5,where,O
5,I,O
5,apply,O
5,my,O
5,makeup,O
5,.,O
6,The,O
6,Desk,B-FUR
6,in,O
6,the,O
6,master,O
6,bedroom,O
6,is,O
6,where,O
6,I,O
6,keep,O
6,my,O
6,jewelry,O
6,.,O
7,The,O
7,dining,O
7,Desk,B-FUR
7,is,O
7,set,O
7,with,O
7,plates,O
7,and,O
7,silverware,O
7,.,O
8,I,O
8,want,O
8,a,O
8,marble,B-FUR
8,Desk,I-FUR
8,with,O
8,a,O
8,drop-down,O
8,leaf,O
8,that,O
8,can,O
8,be,O
8,stored,O
8,away,O
8,when,O
8,not,O
8,in,O
8,use,O
8,.,O
9,The,O
9,Yellow,B-FUR
9,wicker,I-FUR
9,low,I-FUR
9,Desk,I-FUR
9,in,O
9,the,O
9,living,O
9,room,O
9,doubles,O
9,as,O
9,a,O
9,storage,B-FUR
9,container.,I-FUR
